brick 0
coin 70
4854 768 288
4855 784 288
4856 800 288
4858 832 288
4861 880 288
5041 912 272
5222 960 256
5402 992 240
5582 1024 224
5762 1056 208
5764 1088 208
5943 1104 192
5944 1120 192
5945 1136 192
6123 1136 176
6122 1120 176
6299 1104 160
6297 1072 160
6296 1056 160
6294 1024 160
6291 976 160
6290 960 160
6288 928 160
6286 896 160
6285 880 160
6284 864 160
6283 848 160
6282 832 160
6104 832 176
6105 848 176
5927 848 192
5750 864 208
5573 880 224
5218 896 256
5042 928 272
5043 944 272
4867 976 288
4869 1008 288
4692 1024 304
4693 1040 304
4694 1056 304
4695 1072 304
4696 1088 304
4697 1104 304
4698 1120 304
4877 1136 288
4878 1152 288
5057 1168 272
5235 1168 256
5236 1184 256
5414 1184 240
5415 1200 240
5416 1216 240
5594 1216 224
5595 1232 224
5774 1248 208
5953 1264 192
6132 1280 176
6133 1296 176
6312 1312 160
6313 1328 160
6314 1344 160
6136 1344 176
6137 1360 176
5959 1360 192
5781 1360 208
5603 1360 224
5425 1360 240
5247 1360 256
5069 1360 272
drain 0
land 0
leaf 0
mushroom_red 0
p 0
box 0
question_block 0
star 0
tarnooki 0
tarnooki_fly 127
5620 1632 224
5798 1632 208
5797 1616 208
5796 1600 208
5617 1584 224
5616 1568 224
5437 1552 240
5259 1552 256
5258 1536 256
5080 1536 272
4902 1536 288
4903 1552 288
4904 1568 288
4727 1584 304
4551 1616 320
4552 1632 320
4555 1680 320
4556 1696 320
4558 1728 320
4737 1744 304
4739 1776 304
4918 1792 288
5097 1808 272
5098 1824 272
5276 1824 256
5455 1840 240
5633 1840 224
5812 1856 208
5990 1856 192
5991 1872 192
6169 1872 176
6347 1872 160
6348 1888 160
6526 1888 144
6527 1904 144
6528 1920 144
6529 1936 144
6530 1952 144
6353 1968 160
6175 1968 176
5997 1968 192
5819 1968 208
5641 1968 224
5463 1968 240
5464 1984 240
5286 1984 256
5287 2000 256
5288 2016 256
5289 2032 256
5468 2048 240
5469 2064 240
5470 2080 240
5648 2080 224
5826 2080 208
5827 2096 208
5828 2112 208
6006 2112 192
6007 2128 192
6008 2144 192
6186 2144 176
6187 2160 176
6366 2176 160
6191 2224 176
6192 2240 176
6014 2240 192
5836 2240 208
5658 2240 224
5659 2256 224
5481 2256 240
5482 2272 240
5483 2288 240
5306 2304 256
5307 2320 256
5308 2336 256
5487 2352 240
5488 2368 240
5489 2384 240
5668 2400 224
5669 2416 224
5848 2432 208
5849 2448 208
5850 2464 208
6028 2464 192
6029 2480 192
6207 2480 176
6208 2496 176
6387 2512 160
6388 2528 160
6566 2528 144
6567 2544 144
6568 2560 144
6569 2576 144
6392 2592 160
6393 2608 160
6215 2608 176
6216 2624 176
6039 2640 192
6040 2656 192
5863 2672 208
5864 2688 208
5865 2704 208
5687 2704 224
5688 2720 224
5512 2752 240
5335 2768 256
5158 2784 272
5159 2800 272
4982 2816 288
4983 2832 288
5161 2832 272
5339 2832 256
5340 2848 256
5518 2848 240
5696 2848 224
5874 2848 208
6052 2848 192
6230 2848 176
6229 2832 176
6228 2816 176
6227 2800 176
6226 2784 176
6225 2768 176
6048 2784 192
5870 2784 208
5693 2800 224
5515 2800 240
5516 2816 240
tortoise 72
2681 176 480
2859 176 464
2860 192 464
3039 208 448
3396 224 416
3575 240 400
3753 240 384
3932 256 368
4110 256 352
4288 256 336
4289 272 336
4467 272 320
4468 288 320
4646 288 304
4647 304 304
6063 176 176
5885 176 192
5886 192 192
5708 192 208
4999 240 272
5000 256 272
4822 256 288
4823 272 288
4824 288 288
5001 272 272
5178 256 256
5177 240 256
5355 240 240
5354 224 240
5353 208 240
5531 208 224
5709 208 208
5887 208 192
3410 448 416
3588 448 400
3587 432 400
3765 432 384
3942 416 368
4297 400 336
4475 400 320
4830 384 288
5008 384 272
5185 368 256
5363 368 240
5541 368 224
5720 384 208
5722 416 208
5901 432 192
5903 464 192
6082 480 176
6084 512 176
6085 528 176
6086 544 176
6087 560 176
6266 576 160
6267 592 160
6268 608 160
6091 624 176
5914 640 192
5915 656 192
5737 656 208
5559 656 224
5560 672 224
5382 672 240
5204 672 256
5026 672 272
4848 672 288
4491 656 320
4313 656 336
4135 656 352
3957 656 368
3779 656 384
tortoise_fly 0
tortoise_red 0
tree 0
tree_red 0
tree_red_shoot 0
tree_shoot 0
